sr,category,district,taluka,village,regno,name,name_confidence,rooms,commercial_value_raw,commercial_value,regulatory_urgency_raw,regulatory_urgency,service_tier,service_tier_score_raw,service_tier_score,value_score,decision_fit,phase1_score,tier
4720,B,North Goa,Bardez,Mapusa,HOTN001526,Mapusa Residency,high,48,5.614709844115208,0.6260361738910017,2,0.6666666666666666,1,3,1.0,0.7337,1.0,0.7337,Priority
5355,B,North Goa,Bardez,Socorro,HOTN000529,Angels Holiday Resort,high,48,5.614709844115208,0.6260361738910017,2,0.6666666666666666,1,3,1.0,0.7337,1.0,0.7337,Priority
6808,C,North Goa,Bardez,Pilerne,HOTN012399,"Batulem Marra, Pilerne, Bardez, North Goa-",high,47,5.584962500721157,0.6227193661558074,2,0.6666666666666666,1,3,1.0,0.7324,1.0,0.7324,Priority
1416,C,North Goa,Bardez,Calangute,HOTN000307,Empire Beach Resort,high,47,5.584962500721157,0.6227193661558074,2,0.6666666666666666,1,3,1.0,0.7324,1.0,0.7324,Priority
4271,B,North Goa,Bardez,Candolim,HOTN001681,Evoke Lifestyle,high,46,5.554588851677638,0.6193327257839557,2,0.6666666666666666,1,3,1.0,0.7311,1.0,0.7311,Priority
1364,B,North Goa,Bardez,Anjuna,HOTN003507,Country Club De Goa,high,46,5.554588851677638,0.6193327257839557,2,0.6666666666666666,1,3,1.0,0.7311,1.0,0.7311,Priority
8090,C,North Goa,Bardez,Candolim,HOTN004661,Evoke Express,high,46,5.554588851677638,0.6193327257839557,2,0.6666666666666666,1,3,1.0,0.7311,1.0,0.7311,Priority
1197,B,North Goa,Bardez,Nagoa,HOTN002321,Regenta Central North Goa,high,46,5.554588851677638,0.6193327257839557,2,0.6666666666666666,1,3,1.0,0.7311,1.0,0.7311,Priority
4762,C,North Goa,Bardez,Anjuna,HOTN003510,"Chivar Anjuna Vagator, Anjuna, Bardez, North",high,46,5.554588851677638,0.6193327257839557,2,0.6666666666666666,1,3,1.0,0.7311,1.0,0.7311,Priority
9455,B,North Goa,Bardez,Calangute,HOTN001385,Sea Breeze Village,high,46,5.554588851677638,0.6193327257839557,2,0.6666666666666666,1,3,1.0,0.7311,1.0,0.7311,Priority
750,B,North Goa,Bardez,Arpora,HOTN000512,Rio Residancy,high,46,5.554588851677638,0.6193327257839557,2,0.6666666666666666,1,3,1.0,0.7311,1.0,0.7311,Priority
5281,A,North Goa,Bardez,Calangute,HOTN000639,Neelams The Glitz,high,45,5.523561956057013,0.6158732488810825,2,0.6666666666666666,1,3,1.0,0.7297,1.0,0.7297,Priority
